id,name,count
2132,Eve,36
2133,Serpent,4
2134,Cain,4
2135,Abel,6
2137,Noah,4
2138,Enoch,1
2141,Abraham,6
2142,Isaac,5
2143,Aaron,3
2144,"Solomon, King",6
2145,Moses,21
2146,Elias,1
2148,'A Midsummer Night's Dream',10
2149,Oberon,4
2150,Titania,6
2151,Puck,5
2153,fairy,34
2155,smiling,162
2158,crown,73
2159,sceptre,10
2163,Ben Ledi,1
2164,"Stirling, Stirling Castle",40
2166,Caiaphas,2
2169,hood,15
2170,crucifixion,8
2171,high priest,3
2172,breast feeding,20
2178,"Hampstead, Downshire Hill, St John's Church",1
2182,sail,49
2183,"Rome, San Giovanni Laterano",5
2185,"Tate, Henry, Bt",2
2187,milkmaid,36
2188,Arcadia,4
2191,ox,48
2192,"fruit, banana",13
2203,"Milton, John, 'History of Britain'",1
2204,prison,33
2205,tenderness,49
